LR(0)的分析表如下

 状态|                  ACTION|           GOTO
     |   a|   b|   c|   d|   #|   A|   B|   E|
    0|  S1|  S2|    |    |    |    |    |   3|
    1|    |    |  S4|  S5|    |   6|    |    |
    2|    |    |  S7|  S8|    |    |   9|    |
    3|    |    |    |    | acc|    |    |    |
    4|    |    |  S4|  S5|    |  10|    |    |
    5|  r4|  r4|  r4|  r4|  r4|    |    |    |
    6|  r1|  r1|  r1|  r1|  r1|    |    |    |
    7|    |    |  S7|  S8|    |    |  11|    |
    8|  r6|  r6|  r6|  r6|  r6|    |    |    |
    9|  r2|  r2|  r2|  r2|  r2|    |    |    |
   10|  r3|  r3|  r3|  r3|  r3|    |    |    |
   11|  r5|  r5|  r5|  r5|  r5|    |    |    |
